Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,09:15,144238,9,15
에어부산,13:25,74577,13,25
아시아나항공,13:25,129831,13,25
에어부산,13:30,74577,13,30
제주항공,14:05,76441,14,5
에어부산,14:55,63390,14,55
아시아나항공,14:55,129831,14,55
제주항공,15:30,76441,15,30
에어부산,16:30,36441,16,30
아시아나항공,16:30,129831,16,30
에어부산,16:45,48306,16,45
아시아나항공,16:45,129831,16,45
대한항공,17:40,116441,17,40
제주항공,17:50,76441,17,50
제주항공,18:30,61356,18,30
에어부산,18:35,74407,18,35
아시아나항공,18:35,129831,18,35
에어부산,19:05,52712,19,5
아시아나항공,19:05,129831,19,5
에어부산,19:35,42543,19,35
아시아나항공,19:35,129831,19,35
에어부산,19:55,42543,19,55
아시아나항공,19:55,129831,19,55
대한항공,20:00,116441,20,0
제주항공,20:05,61356,20,5
대한항공,20:45,116441,20,45
대한항공,21:05,116441,21,5
